age,salary,city,monthly_spend,tenure,support_tickets,churned
25,41000,Mumbai,2000,24,1,0
32,65000,Pune,3500,36,2,0
45,90000,Delhi,7000,6,7,1
28,50000,Mumbai,2800,18,2,0
41,85000,Bangalore,6500,8,6,1
35,70000,Pune,4500,30,2,0
52,95000,Delhi,8000,4,8,1
29,48000,Mumbai,2500,20,1,0
38,72000,Bangalore,5000,14,5,1
31,60000,Pune,3200,28,1,0
47,88000,Delhi,7200,7,6,1
26,42000,Mumbai,2200,32,0,0
40,78000,Bangalore,5800,10,4,1
34,68000,Pune,4000,26,2,0
50,92000,Delhi,7500,5,7,1
27,45000,Mumbai,2300,30,1,0
36,75000,Bangalore,5200,16,3,0
43,82000,Pune,6000,9,5,1
30,55000,Mumbai,3000,34,1,0
48,90000,Delhi,7800,6,8,1
